中文类别,地点ID,生态区,X,Y,Z,距祭坛,状态
北境洞穴,TheHole01,DeepNorth,-6015,36,7108,9302,预定位置
北境洞穴,TheHole01,DeepNorth,2113,89,8835,9408,预定位置
北境洞穴,TheHole01,DeepNorth,5501,36,7170,9435,预定位置
北境洞穴,TheHole01,DeepNorth,4803,36,7681,9445,预定位置
北境洞穴,TheHole01,DeepNorth,0,46,9218,9475,预定位置
北境洞穴,TheHole01,DeepNorth,-3137,35,8830,9507,预定位置
北境洞穴,TheHole01,DeepNorth,-5956,40,7427,9522,预定位置
北境洞穴,TheHole01,DeepNorth,-6852,53,6785,9597,预定位置
北境洞穴,TheHole01,DeepNorth,4607,46,8001,9614,预定位置
北境洞穴,TheHole01,DeepNorth,-3714,65,8770,9636,预定位置
北境洞穴,TheHole01,DeepNorth,1344,35,9277,9674,预定位置
北境洞穴,TheHole01,DeepNorth,-1220,33,9409,9701,预定位置
北境洞穴,TheHole01,DeepNorth,2562,73,9027,9717,预定位置
北境洞穴,TheHole01,DeepNorth,-190,51,9470,9723,预定位置
北境洞穴,TheHole01,DeepNorth,828,106,9408,9728,预定位置
北境洞穴,TheHole01,DeepNorth,4865,52,7998,9746,预定位置
北境洞穴,TheHole01,DeepNorth,5888,99,7426,9877,预定位置
北境洞穴,TheHole01,DeepNorth,-4418,36,8770,9906,预定位置
北境洞穴,TheHole01,DeepNorth,-8062,49,5949,9915,预定位置
北境洞穴,TheHole01,DeepNorth,-2497,34,9469,9960,预定位置
北境洞穴,TheHole01,DeepNorth,-6846,43,7300,9977,预定位置
北境洞穴,TheHole01,DeepNorth,-387,45,9729,9981,预定位置
北境洞穴,TheHole01,DeepNorth,-8062,35,6209,10080,预定位置
北境洞穴,TheHole01,DeepNorth,1856,45,9602,10092,预定位置
北境洞穴,TheHole01,DeepNorth,765,56,9792,10102,预定位置
北境洞穴,TheHole01,DeepNorth,4801,36,8510,10151,预定位置
北境洞穴,TheHole01,DeepNorth,7360,37,6468,10208,预定位置
北境洞穴,TheHole01,DeepNorth,-1918,34,9854,10230,预定位置
北境洞穴,TheHole01,DeepNorth,1154,41,9985,10343,预定位置
北境洞穴,TheHole01,DeepNorth,2685,91,9726,10422,预定位置
北境首领房,DN_Bossroom,DeepNorth,6592,127,6848,9912,预定位置
北境首领房,DN_Bossroom,DeepNorth,3904,146,9024,10194,预定位置
北境首领房,DN_Bossroom,DeepNorth,8064,115,5760,10321,预定位置
女王入口,Mistlands_DvergrBossEntrance1,Mistlands,-2816,50,-5504,5813,预定位置
女王入口,Mistlands_DvergrBossEntrance1,Mistlands,-1600,38,7744,8096,已生成
女王入口,Mistlands_DvergrBossEntrance1,Mistlands,-8256,35,3264,8675,预定位置
女王入口,Mistlands_DvergrBossEntrance1,Mistlands,9472,38,-1600,9890,预定位置
女王入口,Mistlands_DvergrBossEntrance1,Mistlands,9728,49,960,10126,预定位置
巨魔洞穴,TrollCave02,BlackForest,7,66,-768,615,已生成
巨魔洞穴,TrollCave02,BlackForest,262,39,-708,744,已生成
巨魔洞穴,TrollCave02,BlackForest,-262,38,-1023,775,已生成
巨魔洞穴,TrollCave02,BlackForest,-322,46,699,950,已生成
巨魔洞穴,TrollCave02,BlackForest,515,40,-763,984,已生成
巨魔洞穴,TrollCave02,BlackForest,768,42,135,1159,已生成
巨魔洞穴,TrollCave02,BlackForest,702,52,390,1211,已生成
巨魔洞穴,TrollCave02,BlackForest,-1537,66,-260,1212,预定位置
巨魔洞穴,TrollCave02,BlackForest,-1476,42,-648,1217,预定位置
巨魔洞穴,TrollCave02,BlackForest,-196,48,967,1225,已生成
巨魔洞穴,TrollCave02,BlackForest,-1541,43,-2,1241,预定位置
巨魔洞穴,TrollCave02,BlackForest,834,42,-704,1245,已生成
巨魔洞穴,TrollCave02,BlackForest,573,44,640,1265,已生成
巨魔洞穴,TrollCave02,BlackForest,-647,39,1083,1373,已生成
巨魔洞穴,TrollCave02,BlackForest,-324,46,1221,1472,已生成
巨魔洞穴,TrollCave02,BlackForest,-1798,42,-323,1475,预定位置
巨魔洞穴,TrollCave02,BlackForest,-1731,39,192,1475,预定位置
巨魔洞穴,TrollCave02,BlackForest,325,57,1080,1482,已生成
巨魔洞穴,TrollCave02,BlackForest,-1478,34,705,1498,已生成
巨魔洞穴,TrollCave02,BlackForest,1086,60,383,1547,预定位置
巨魔洞穴,TrollCave02,BlackForest,-5,58,1346,1629,已生成
巨魔洞穴,TrollCave02,BlackForest,-1022,37,1281,1683,已生成
巨魔洞穴,TrollCave02,BlackForest,-1789,36,632,1709,已生成
巨魔洞穴,TrollCave02,BlackForest,318,39,1338,1714,已生成
巨魔洞穴,TrollCave02,BlackForest,-2116,39,71,1819,预定位置
巨魔洞穴,TrollCave02,BlackForest,-2051,34,384,1839,预定位置
巨魔洞穴,TrollCave02,BlackForest,-313,64,1602,1853,已生成
巨魔洞穴,TrollCave02,BlackForest,-840,65,1538,1862,已生成
巨魔洞穴,TrollCave02,BlackForest,1409,72,446,1869,预定位置
巨魔洞穴,TrollCave02,BlackForest,-508,85,1795,2054,已生成
巨魔洞穴,TrollCave02,BlackForest,1596,61,644,2120,预定位置
巨魔洞穴,TrollCave02,BlackForest,633,55,1726,2198,已生成
巨魔洞穴,TrollCave02,BlackForest,1793,64,383,2211,预定位置
巨魔洞穴,TrollCave02,BlackForest,-1721,34,1474,2220,已生成
巨魔洞穴,TrollCave02,BlackForest,1926,37,-257,2251,已生成
巨魔洞穴,TrollCave02,BlackForest,-1530,61,1669,2267,已生成
巨魔洞穴,TrollCave02,BlackForest,1851,37,632,2349,预定位置
巨魔洞穴,TrollCave02,BlackForest,1411,34,1478,2450,预定位置
巨魔洞穴,TrollCave02,BlackForest,2116,52,-5,2454,预定位置
巨魔洞穴,TrollCave02,BlackForest,2104,37,252,2481,预定位置
巨魔洞穴,TrollCave02,BlackForest,-2823,43,-505,2511,预定位置
巨魔洞穴,TrollCave02,BlackForest,1209,37,1795,2557,预定位置
巨魔洞穴,TrollCave02,BlackForest,-1212,50,-2690,2594,预定位置
巨魔洞穴,TrollCave02,BlackForest,1665,33,-1990,2643,预定位置
巨魔洞穴,TrollCave02,BlackForest,-3079,63,-391,2758,预定位置
巨魔洞穴,TrollCave02,BlackForest,2375,49,-838,2763,预定位置
巨魔洞穴,TrollCave02,BlackForest,-1861,36,2105,2812,已生成
巨魔洞穴,TrollCave02,BlackForest,-3139,61,-645,2842,预定位置
巨魔洞穴,TrollCave02,BlackForest,1849,50,-2169,2900,预定位置
巨魔洞穴,TrollCave02,BlackForest,-123,34,2751,3009,已生成
巨魔洞穴,TrollCave02,BlackForest,2691,34,-455,3023,预定位置
巨魔洞穴,TrollCave02,BlackForest,2630,59,-1017,3053,预定位置
巨魔洞穴,TrollCave02,BlackForest,1275,54,2362,3064,预定位置
巨魔洞穴,TrollCave02,BlackForest,2108,55,-2172,3100,预定位置
巨魔洞穴,TrollCave02,BlackForest,-1415,44,2681,3128,已生成
巨魔洞穴,TrollCave02,BlackForest,1656,79,2175,3132,预定位置
巨魔洞穴,TrollCave02,BlackForest,2428,46,1277,3150,预定位置
巨魔洞穴,TrollCave02,BlackForest,710,47,2822,3243,预定位置
巨魔洞穴,TrollCave02,BlackForest,-3003,34,1596,3253,预定位置
巨魔洞穴,TrollCave02,BlackForest,1089,33,-3450,3498,预定位置
巨魔洞穴,TrollCave02,BlackForest,1792,52,2563,3521,预定位置
巨魔洞穴,TrollCave02,BlackForest,635,47,3194,3576,预定位置
巨魔洞穴,TrollCave02,BlackForest,-1722,59,3076,3608,已生成
巨魔洞穴,TrollCave02,BlackForest,-2752,44,2426,3613,已生成
巨魔洞穴,TrollCave02,BlackForest,-1081,41,3387,3715,已生成
巨魔洞穴,TrollCave02,BlackForest,3523,34,-1,3857,预定位置
巨魔洞穴,TrollCave02,BlackForest,327,34,3586,3892,预定位置
巨魔洞穴,TrollCave02,BlackForest,-3975,37,1159,3913,预定位置
巨魔洞穴,TrollCave02,BlackForest,-3898,39,1412,3941,预定位置
巨魔洞穴,TrollCave02,BlackForest,3399,64,-1600,3961,预定位置
巨魔洞穴,TrollCave02,BlackForest,-3136,63,2693,4071,已生成
巨魔洞穴,TrollCave02,BlackForest,900,55,-4155,4091,预定位置
巨魔洞穴,TrollCave02,BlackForest,-318,60,3840,4092,已生成
巨魔洞穴,TrollCave02,BlackForest,-4413,61,126,4105,预定位置
巨魔洞穴,TrollCave02,BlackForest,-636,64,3846,4109,已生成
巨魔洞穴,TrollCave02,BlackForest,3459,52,-1854,4110,预定位置
巨魔洞穴,TrollCave02,BlackForest,-4543,33,-194,4218,预定位置
巨魔洞穴,TrollCave02,BlackForest,-2952,49,3198,4336,已生成
巨魔洞穴,TrollCave02,BlackForest,-4672,77,254,4376,预定位置
巨魔洞穴,TrollCave02,BlackForest,1031,48,-4423,4386,预定位置
巨魔洞穴,TrollCave02,BlackForest,-4731,37,7,4414,预定位置
巨魔洞穴,TrollCave02,BlackForest,3391,44,2425,4579,预定位置
巨魔洞穴,TrollCave02,BlackForest,-2434,37,3834,4597,预定位置
巨魔洞穴,TrollCave02,BlackForest,-2813,51,-4165,4638,预定位置
巨魔洞穴,TrollCave02,BlackForest,-890,33,-4928,4711,预定位置
巨魔洞穴,TrollCave02,BlackForest,1663,61,-4729,4899,预定位置
巨魔洞穴,TrollCave02,BlackForest,837,49,-5062,4949,预定位置
巨魔洞穴,TrollCave02,BlackForest,-711,50,-5188,4952,预定位置
巨魔洞穴,TrollCave02,BlackForest,-3772,35,3336,4975,已生成
巨魔洞穴,TrollCave02,BlackForest,-3642,45,-4032,5029,预定位置
巨魔洞穴,TrollCave02,BlackForest,-1031,47,-5253,5052,预定位置
巨魔洞穴,TrollCave02,BlackForest,1537,35,-4986,5088,预定位置
巨魔洞穴,TrollCave02,BlackForest,-2116,43,4541,5115,预定位置
巨魔洞穴,TrollCave02,BlackForest,-1595,45,4807,5215,已生成
巨魔洞穴,TrollCave02,BlackForest,-4229,35,-3779,5261,预定位置
巨魔洞穴,TrollCave02,BlackForest,-707,48,-5502,5264,预定位置
巨魔洞穴,TrollCave02,BlackForest,196,51,4990,5267,已生成
巨魔洞穴,TrollCave02,BlackForest,2241,43,-4868,5282,预定位置
巨魔洞穴,TrollCave02,BlackForest,2498,62,-4802,5355,预定位置
巨魔洞穴,TrollCave02,BlackForest,-4220,33,-4035,5431,预定位置
巨魔洞穴,TrollCave02,BlackForest,-3962,41,3833,5468,已生成
巨魔洞穴,TrollCave02,BlackForest,-5753,35,515,5481,预定位置
巨魔洞穴,TrollCave02,BlackForest,-4096,46,-4281,5519,预定位置
巨魔洞穴,TrollCave02,BlackForest,5244,35,189,5587,预定位置
巨魔洞穴,TrollCave02,BlackForest,4997,43,1470,5594,预定位置
巨魔洞穴,TrollCave02,BlackForest,-5889,43,-1477,5697,预定位置
巨魔洞穴,TrollCave02,BlackForest,-1664,64,5319,5729,预定位置
巨魔洞穴,TrollCave02,BlackForest,5245,50,1151,5744,预定位置
巨魔洞穴,TrollCave02,BlackForest,-4354,53,3906,5789,预定位置
巨魔洞穴,TrollCave02,BlackForest,-5886,54,-1861,5789,预定位置
巨魔洞穴,TrollCave02,BlackForest,5444,54,-1663,5939,预定位置
巨魔洞穴,TrollCave02,BlackForest,-6138,38,-1671,5984,预定位置
巨魔洞穴,TrollCave02,BlackForest,5448,33,-1926,6011,预定位置
巨魔洞穴,TrollCave02,BlackForest,2425,33,5177,6085,预定位置
巨魔洞穴,TrollCave02,BlackForest,2169,73,5575,6338,预定位置
巨魔洞穴,TrollCave02,BlackForest,4990,45,3260,6370,预定位置
巨魔洞穴,TrollCave02,BlackForest,4604,58,3844,6409,预定位置
巨魔洞穴,TrollCave02,BlackForest,-2626,68,5821,6494,预定位置
巨魔洞穴,TrollCave02,BlackForest,-2236,39,6011,6547,预定位置
巨魔洞穴,TrollCave02,BlackForest,-130,35,6328,6582,已生成
巨魔洞穴,TrollCave02,BlackForest,-4732,49,4743,6660,预定位置
巨魔洞穴,TrollCave02,BlackForest,-4995,35,4541,6691,预定位置
巨魔洞穴,TrollCave02,BlackForest,-6850,34,1666,6801,预定位置
巨魔洞穴,TrollCave02,BlackForest,-2621,34,-6713,6857,预定位置
巨魔洞穴,TrollCave02,BlackForest,-709,58,-7106,6865,预定位置
巨魔洞穴,TrollCave02,BlackForest,-5624,40,-4735,6941,预定位置
巨魔洞穴,TrollCave02,BlackForest,-4866,45,4999,6941,预定位置
巨魔洞穴,TrollCave02,BlackForest,6077,65,2823,7102,预定位置
巨魔洞穴,TrollCave02,BlackForest,-4225,36,5823,7219,已生成
巨魔洞穴,TrollCave02,BlackForest,-5756,56,-5057,7252,预定位置
巨魔洞穴,TrollCave02,BlackForest,-7486,42,1023,7273,预定位置
巨魔洞穴,TrollCave02,BlackForest,-4039,34,6011,7281,已生成
巨魔洞穴,TrollCave02,BlackForest,1342,56,-7358,7300,预定位置
巨魔洞穴,TrollCave02,BlackForest,-7559,35,1275,7393,预定位置
巨魔洞穴,TrollCave02,BlackForest,5946,68,-4221,7422,预定位置
巨魔洞穴,TrollCave02,BlackForest,5247,40,4674,7437,预定位置
巨魔洞穴,TrollCave02,BlackForest,3777,43,6009,7485,预定位置
巨魔洞穴,TrollCave02,BlackForest,-7674,37,-1924,7537,预定位置
巨魔洞穴,TrollCave02,BlackForest,5889,35,-4537,7549,预定位置
巨魔洞穴,TrollCave02,BlackForest,-1538,53,7237,7586,已生成
巨魔洞穴,TrollCave02,BlackForest,1223,35,-7684,7592,预定位置
巨魔洞穴,TrollCave02,BlackForest,6267,35,-4037,7603,预定位置
巨魔洞穴,TrollCave02,BlackForest,6210,50,-4356,7718,预定位置
巨魔洞穴,TrollCave02,BlackForest,-7940,35,-1915,7794,预定位置
巨魔洞穴,TrollCave02,BlackForest,-1605,47,7489,7846,已生成
巨魔洞穴,TrollCave02,BlackForest,-7944,39,-2172,7857,预定位置
巨魔洞穴,TrollCave02,BlackForest,-7104,72,-4282,7887,预定位置
巨魔洞穴,TrollCave02,BlackForest,-7422,67,-3706,7892,预定位置
巨魔洞穴,TrollCave02,BlackForest,-7291,65,-3974,7898,预定位置
巨魔洞穴,TrollCave02,BlackForest,-8190,33,-1149,7916,预定位置
巨魔洞穴,TrollCave02,BlackForest,3769,35,-7046,7932,预定位置
巨魔洞穴,TrollCave02,BlackForest,-7037,45,-4605,8000,预定位置
巨魔洞穴,TrollCave02,BlackForest,-8005,41,-2496,8001,预定位置
巨魔洞穴,TrollCave02,BlackForest,-7943,33,-2753,8018,预定位置
巨魔洞穴,TrollCave02,BlackForest,-8391,41,-579,8072,预定位置
巨魔洞穴,TrollCave02,BlackForest,-5247,35,6215,8126,预定位置
巨魔洞穴,TrollCave02,BlackForest,7361,33,2488,8160,预定位置
巨魔洞穴,TrollCave02,BlackForest,-6533,73,-5568,8174,预定位置
巨魔洞穴,TrollCave02,BlackForest,-6724,72,-5377,8199,预定位置
巨魔洞穴,TrollCave02,BlackForest,-6462,39,5243,8237,预定位置
巨魔洞穴,TrollCave02,BlackForest,-7676,43,3643,8319,预定位置
巨魔洞穴,TrollCave02,BlackForest,-8644,61,-506,8323,预定位置
巨魔洞穴,TrollCave02,BlackForest,-6971,33,-5316,8356,预定位置
巨魔洞穴,TrollCave02,BlackForest,6333,36,-5311,8362,预定位置
巨魔洞穴,TrollCave02,BlackForest,-7034,50,4867,8439,预定位置
巨魔洞穴,TrollCave02,BlackForest,7688,47,-2936,8451,预定位置
巨魔洞穴,TrollCave02,BlackForest,-8775,47,-1469,8537,预定位置
巨魔洞穴,TrollCave02,BlackForest,-7803,50,3907,8556,预定位置
巨魔洞穴,TrollCave02,BlackForest,7489,33,3399,8624,预定位置
巨魔洞穴,TrollCave02,BlackForest,-8002,71,3717,8642,预定位置
巨魔洞穴,TrollCave02,BlackForest,-8965,50,-775,8656,预定位置
巨魔洞穴,TrollCave02,BlackForest,-8834,62,-2171,8723,预定位置
巨魔洞穴,TrollCave02,BlackForest,8389,77,-825,8733,预定位置
巨魔洞穴,TrollCave02,BlackForest,8446,56,-450,8774,预定位置
巨魔洞穴,TrollCave02,BlackForest,-7993,58,4101,8817,预定位置
巨魔洞穴,TrollCave02,BlackForest,-8701,34,-3263,8901,预定位置
巨魔洞穴,TrollCave02,BlackForest,-7745,34,4669,8903,预定位置
巨魔洞穴,TrollCave02,BlackForest,-8263,45,3897,8957,预定位置
巨魔洞穴,TrollCave02,BlackForest,-9020,37,-2424,8962,预定位置
巨魔洞穴,TrollCave02,BlackForest,-8254,57,4224,9105,预定位置
巨魔洞穴,TrollCave02,BlackForest,-9468,38,-839,9162,预定位置
巨魔洞穴,TrollCave02,BlackForest,7737,44,-4605,9163,预定位置
巨魔洞穴,TrollCave02,BlackForest,8765,58,1219,9208,预定位置
巨魔洞穴,TrollCave02,BlackForest,-8571,57,3975,9265,预定位置
巨魔洞穴,TrollCave02,BlackForest,8839,47,-1917,9314,预定位置
巨魔洞穴,TrollCave02,BlackForest,-9336,34,2373,9386,预定位置
巨魔洞穴,TrollCave02,BlackForest,-9727,38,-125,9402,预定位置
巨魔洞穴,TrollCave02,BlackForest,8824,35,2105,9448,预定位置
巨魔洞穴,TrollCave02,BlackForest,-9992,41,-1339,9728,预定位置
巨魔洞穴,TrollCave02,BlackForest,-10056,43,-839,9748,预定位置
巨魔洞穴,TrollCave02,BlackForest,-9979,47,-1606,9749,预定位置
巨魔洞穴,TrollCave02,BlackForest,8901,37,-3582,9809,预定位置
巨魔洞穴,TrollCave02,BlackForest,-9920,35,1990,9853,预定位置
巨魔洞穴,TrollCave02,BlackForest,9542,51,327,9884,预定位置
巨魔洞穴,TrollCave02,BlackForest,9598,57,57,9928,预定位置
巨魔洞穴,TrollCave02,BlackForest,9214,38,2617,9961,预定位置
巨魔洞穴,TrollCave02,BlackForest,9341,34,2365,10014,预定位置
巨魔洞穴,TrollCave02,BlackForest,10049,43,-4,10377,预定位置
巨魔洞穴,TrollCave02,BlackForest,9721,36,2363,10381,预定位置
巨魔洞穴,TrollCave02,BlackForest,10246,42,-199,10571,预定位置
希尔迪尔墓穴,Hildir_crypt,BlackForest,-3260,46,-713,2971,预定位置
希尔迪尔墓穴,Hildir_crypt,BlackForest,-2947,34,3126,4276,已生成
希尔迪尔墓穴,Hildir_crypt,BlackForest,-261,35,6395,6647,已生成
希尔迪尔平原堡垒,Hildir_plainsfortress,Plains,4544,55,-2560,5389,已生成
希尔迪尔平原堡垒,Hildir_plainsfortress,Plains,832,52,-7232,7076,预定位置
希尔迪尔平原堡垒,Hildir_plainsfortress,Plains,7488,42,-1600,7929,预定位置
希尔迪尔洞穴,Hildir_cave,Mountain,576,238,-3136,3022,预定位置
希尔迪尔洞穴,Hildir_cave,Mountain,2048,271,3968,4841,预定位置
希尔迪尔洞穴,Hildir_cave,Mountain,-4672,305,6400,7946,预定位置
沉没墓穴,SunkenCrypt4,Swamp,392,32,-2182,2059,预定位置
沉没墓穴,SunkenCrypt4,Swamp,-515,30,2109,2368,已生成
沉没墓穴,SunkenCrypt4,Swamp,-516,30,2185,2444,已生成
沉没墓穴,SunkenCrypt4,Swamp,1776,30,-1649,2523,预定位置
沉没墓穴,SunkenCrypt4,Swamp,1840,30,-1592,2546,已生成
沉没墓穴,SunkenCrypt4,Swamp,-394,30,2295,2547,已生成
沉没墓穴,SunkenCrypt4,Swamp,-511,31,2320,2578,已生成
沉没墓穴,SunkenCrypt4,Swamp,1793,32,-1743,2591,预定位置
沉没墓穴,SunkenCrypt4,Swamp,1916,31,-1584,2608,已生成
沉没墓穴,SunkenCrypt4,Swamp,-139,30,2377,2634,已生成
沉没墓穴,SunkenCrypt4,Swamp,1905,30,-1680,2649,已生成
沉没墓穴,SunkenCrypt4,Swamp,-576,30,2422,2685,已生成
沉没墓穴,SunkenCrypt4,Swamp,2002,31,-1610,2695,已生成
沉没墓穴,SunkenCrypt4,Swamp,2060,30,-1672,2776,已生成
